"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2019-01-03,7,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-01-06,4,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-01-09,5,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-01-12,26,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-01-15,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-01-18,5,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-01-21,6,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-01-24,6,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-01-27,15,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-01-30,7,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-02-02,14,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-02-05,20,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-02-08,8,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-02-11,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-02-14,8,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-02-17,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-02-20,3,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-02-23,1,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-02-26,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2019-01-03,11,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-01-09,6,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-01-15,15,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-01-21,18,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-01-27,58,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-02-02,44,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-02-08,13,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-02-14,24,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-02-20,9,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-02-26,36,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-03-04,21,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-03-10,18,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-03-16,13,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-03-22,16,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-03-28,30,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-04-09,13,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-04-15,8,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-04-21,6,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-04-27,20,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-05-03,29,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-05-21,30,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-05-27,46,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-06-02,51,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
2019-06-08,11,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
